match_id;id;name;country_code;role;image
2019282;292791;György Ring;HUN;ASSISTANT_REFEREE_ONE;https://img.uefa.com/imgml/referees/75x75/292791.jpg
2019282;1908453;Peter Berettyán;HUN;FOURTH_OFFICIAL;https://img.uefa.com/imgml/referees/75x75/1908453.jpg
2019282;1901496;Vencel Tóth;HUN;ASSISTANT_REFEREE_TWO;https://img.uefa.com/imgml/referees/75x75/1901496.jpg
2019283;250016094;Dmitri Zhuk;BLR;ASSISTANT_REFEREE_ONE;https://img.uefa.com/imgml/referees/75x75/250016094.jpg
2019283;250042170;Denis Scherbakov;BLR;ADDITIONAL_ASSISTANT_REFEREE_ONE;https://img.uefa.com/imgml/referees/75x75/250042170.jpg
2019283;250044234;Oleg Maslyanko;BLR;ASSISTANT_REFEREE_TWO;https://img.uefa.com/imgml/referees/75x75/250044234.jpg
2019283;281402;Aleksei Kulbakov;BLR;REFEREE;https://img.uefa.com/imgml/referees/75x75/281402.jpg
2019283;250053054;Yury Khomchenko;BLR;FOURTH_OFFICIAL;https://img.uefa.com/imgml/referees/75x75/250053054.jpg
2019283;250065320;Viktor Shimusik;BLR;ADDITIONAL_ASSISTANT_REFEREE_TWO;https://img.uefa.com/imgml/referees/75x75/250065320.jpg
2019283;279017;Peter Lundström;FIN;UEFA_DELEGATE;https://img.uefa.com/imgml/referees/75x75/279017.jpg
2019284;250064733;Douglas Ross;SCO;ASSISTANT_REFEREE_ONE;https://img.uefa.com/imgml/referees/75x75/250064733.jpg
2019284;250039483;Kevin Clancy;SCO;ADDITIONAL_ASSISTANT_REFEREE_TWO;https://img.uefa.com/imgml/referees/75x75/250039483.jpg
2019284;285622;Roland Ospelt;LIE;UEFA_DELEGATE;https://img.uefa.com/imgml/referees/75x75/285622.jpg
2019284;250012795;John Beaton;SCO;ADDITIONAL_ASSISTANT_REFEREE_ONE;https://img.uefa.com/imgml/referees/75x75/250012795.jpg
2019284;250040980;Alastair Mather;SCO;ASSISTANT_REFEREE_TWO;https://img.uefa.com/imgml/referees/75x75/250040980.jpg
2019284;250044258;Stuart Stevenson;SCO;FOURTH_OFFICIAL;https://img.uefa.com/imgml/referees/75x75/250044258.jpg
2019284;291750;William Collum;SCO;REFEREE;https://img.uefa.com/imgml/referees/75x75/291750.jpg
2019285;250026602;Dalibor Djurdjević;SRB;ASSISTANT_REFEREE_TWO;https://img.uefa.com/imgml/referees/75x75/250026602.jpg
2019285;250060822;Nemanja Petrović;SRB;FOURTH_OFFICIAL;https://img.uefa.com/imgml/referees/75x75/250060822.jpg
2019285;250001470;Milorad Mažić;SRB;REFEREE;https://img.uefa.com/imgml/referees/75x75/250001470.jpg
2019285;250072120;Nenad Djokić;SRB;ADDITIONAL_ASSISTANT_REFEREE_TWO;https://img.uefa.com/imgml/referees/75x75/250072120.jpg
2019285;276727;Barry Bright;ENG;UEFA_DELEGATE;https://img.uefa.com/imgml/referees/75x75/276727.jpg
2019285;250005588;Danilo Grujić;SRB;ADDITIONAL_ASSISTANT_REFEREE_ONE;https://img.uefa.com/imgml/referees/75x75/250005588.jpg
2019285;1905313;Milovan Ristić;SRB;ASSISTANT_REFEREE_ONE;https://img.uefa.com/imgml/referees/75x75/1905313.jpg
2019286;1905103;Ovidiu Haţegan;ROU;REFEREE;https://img.uefa.com/imgml/referees/75x75/1905103.jpg
2019286;292911;Sebastian Gheorghe;ROU;ASSISTANT_REFEREE_TWO;https://img.uefa.com/imgml/referees/75x75/292911.jpg
2019286;1909058;Radu Ghinguleac;ROU;FOURTH_OFFICIAL;https://img.uefa.com/imgml/referees/75x75/1909058.jpg
2019286;270674;Steen Dahrup;DEN;UEFA_DELEGATE;https://img.uefa.com/imgml/referees/75x75/270674.jpg
2019286;287419;Sebastian Colţescu;ROU;ADDITIONAL_ASSISTANT_REFEREE_TWO;https://img.uefa.com/imgml/referees/75x75/287419.jpg
2019286;200807;Radu Petrescu;ROU;ADDITIONAL_ASSISTANT_REFEREE_ONE;https://img.uefa.com/imgml/referees/75x75/200807.jpg
2019286;288890;Octavian Șovre;ROU;ASSISTANT_REFEREE_ONE;https://img.uefa.com/imgml/referees/75x75/288890.jpg
2019288;250010429;Anthony Taylor;ENG;REFEREE;https://img.uefa.com/imgml/referees/75x75/250010429.jpg
2019288;275697;Andrey Medintsev;BUL;UEFA_DELEGATE;https://img.uefa.com/imgml/referees/75x75/275697.jpg
2019288;250064467;Craig Pawson;ENG;ADDITIONAL_ASSISTANT_REFEREE_ONE;https://img.uefa.com/imgml/referees/75x75/250064467.jpg
2019288;250057837;Gary Beswick;ENG;ASSISTANT_REFEREE_TWO;https://img.uefa.com/imgml/referees/75x75/250057837.jpg
2019288;250053830;Simon Bennett;ENG;ASSISTANT_REFEREE_ONE;https://img.uefa.com/imgml/referees/75x75/250053830.jpg
2019288;250098868;Ian Hussin;ENG;FOURTH_OFFICIAL;https://img.uefa.com/imgml/referees/75x75/250098868.jpg
2019288;288841;Jonathan Moss;ENG;ADDITIONAL_ASSISTANT_REFEREE_TWO;https://img.uefa.com/imgml/referees/75x75/288841.jpg
2019289;250060924;Harry Lennard;ENG;FOURTH_OFFICIAL;https://img.uefa.com/imgml/referees/75x75/250060924.jpg
2019289;250010114;Michael Oliver;ENG;ADDITIONAL_ASSISTANT_REFEREE_ONE;https://img.uefa.com/imgml/referees/75x75/250010114.jpg
2019289;250018989;Stuart Burt;ENG;ASSISTANT_REFEREE_TWO;https://img.uefa.com/imgml/referees/75x75/250018989.jpg
2019289;291020;Martin Atkinson;ENG;REFEREE;https://img.uefa.com/imgml/referees/75x75/291020.jpg
2019289;250002607;Stephen Child;ENG;ASSISTANT_REFEREE_ONE;https://img.uefa.com/imgml/referees/75x75/250002607.jpg
2019289;267183;Campbell Ogilvie;SCO;UEFA_DELEGATE;https://img.uefa.com/imgml/referees/75x75/267183.jpg
2019289;250013186;Robert Madley;ENG;ADDITIONAL_ASSISTANT_REFEREE_TWO;https://img.uefa.com/imgml/referees/75x75/250013186.jpg
2019287;250067685;Mario Diks;NED;FOURTH_OFFICIAL;https://img.uefa.com/imgml/referees/75x75/250067685.jpg
2019287;1909996;Erwin Zeinstra;NED;ASSISTANT_REFEREE_TWO;https://img.uefa.com/imgml/referees/75x75/1909996.jpg
2019287;292182;Sander van Roekel;NED;ASSISTANT_REFEREE_ONE;https://img.uefa.com/imgml/referees/75x75/292182.jpg
2019287;292994;Pol van Boekel;NED;ADDITIONAL_ASSISTANT_REFEREE_TWO;https://img.uefa.com/imgml/referees/75x75/292994.jpg
2019287;150033329;Per Svärd;SWE;UEFA_DELEGATE;https://img.uefa.com/imgml/referees/75x75/150033329.jpg
2019287;290689;Björn Kuipers;NED;REFEREE;https://img.uefa.com/imgml/referees/75x75/290689.jpg
2019287;250001525;Danny Makkelie;NED;ADDITIONAL_ASSISTANT_REFEREE_ONE;https://img.uefa.com/imgml/referees/75x75/250001525.jpg
2019290;1905010;Daniele Orsato;ITA;REFEREE;https://img.uefa.com/imgml/referees/75x75/1905010.jpg
2019290;250006806;Lorenzo Manganelli;ITA;ASSISTANT_REFEREE_TWO;https://img.uefa.com/imgml/referees/75x75/250006806.jpg
2019290;1905080;Elenito Di Liberatore;ITA;FOURTH_OFFICIAL;https://img.uefa.com/imgml/referees/75x75/1905080.jpg
2019290;250011788;Trefor Lloyd Hughes;WAL;UEFA_DELEGATE;https://img.uefa.com/imgml/referees/75x75/250011788.jpg
2019290;250001594;Carmine Russo;ITA;ADDITIONAL_ASSISTANT_REFEREE_TWO;https://img.uefa.com/imgml/referees/75x75/250001594.jpg
2019290;281407;Paolo Mazzoleni;ITA;ADDITIONAL_ASSISTANT_REFEREE_ONE;https://img.uefa.com/imgml/referees/75x75/281407.jpg
2019290;1910018;Riccardo Di Fiore;ITA;ASSISTANT_REFEREE_ONE;https://img.uefa.com/imgml/referees/75x75/1910018.jpg
2019291;262474;Gianluca Rocchi;ITA;REFEREE;https://img.uefa.com/imgml/referees/75x75/262474.jpg
2019291;1909069;Kris Bellon;BEL;UEFA_DELEGATE;https://img.uefa.com/imgml/referees/75x75/1909069.jpg
2019291;1908552;Gianluca Cariolato;ITA;ASSISTANT_REFEREE_ONE;https://img.uefa.com/imgml/referees/75x75/1908552.jpg
2019291;250072637;Filippo Meli;ITA;ASSISTANT_REFEREE_TWO;https://img.uefa.com/imgml/referees/75x75/250072637.jpg
2019291;250061405;Davide Massa;ITA;ADDITIONAL_ASSISTANT_REFEREE_ONE;https://img.uefa.com/imgml/referees/75x75/250061405.jpg
2019291;250019565;Daniele Doveri;ITA;ADDITIONAL_ASSISTANT_REFEREE_TWO;https://img.uefa.com/imgml/referees/75x75/250019565.jpg
2019291;1908554;Mauro Tonolini;ITA;FOURTH_OFFICIAL;https://img.uefa.com/imgml/referees/75x75/1908554.jpg
2019292;250061400;Alessandro Costanzo;ITA;ASSISTANT_REFEREE_ONE;https://img.uefa.com/imgml/referees/75x75/250061400.jpg
2019292;276388;Wolfgang Thierrichter;AUT;UEFA_DELEGATE;https://img.uefa.com/imgml/referees/75x75/276388.jpg
2019292;250019099;Matteo Passeri;ITA;ASSISTANT_REFEREE_TWO;https://img.uefa.com/imgml/referees/75x75/250019099.jpg
2019292;250050173;Alessandro Giallatini;ITA;FOURTH_OFFICIAL;https://img.uefa.com/imgml/referees/75x75/250050173.jpg
2019292;1904332;Antonio Damato;ITA;ADDITIONAL_ASSISTANT_REFEREE_ONE;https://img.uefa.com/imgml/referees/75x75/1904332.jpg
2019292;288903;Paolo Tagliavento;ITA;REFEREE;https://img.uefa.com/imgml/referees/75x75/288903.jpg
2019292;250067161;Massimiliano Irrati;ITA;ADDITIONAL_ASSISTANT_REFEREE_TWO;https://img.uefa.com/imgml/referees/75x75/250067161.jpg
2019293;250058772;Igor Demeshko;RUS;FOURTH_OFFICIAL;https://img.uefa.com/imgml/referees/75x75/250058772.jpg
2019293;277047;Tikhon Kalugin;RUS;ASSISTANT_REFEREE_TWO;https://img.uefa.com/imgml/referees/75x75/277047.jpg
2019293;250006780;Nils Fisketjonn;NOR;UEFA_DELEGATE;https://img.uefa.com/imgml/referees/75x75/250006780.jpg
2019293;250058773;Sergei Ivanov;RUS;ADDITIONAL_ASSISTANT_REFEREE_TWO;https://img.uefa.com/imgml/referees/75x75/250058773.jpg
2019293;281406;Sergei Karasev;RUS;REFEREE;https://img.uefa.com/imgml/referees/75x75/281406.jpg
2019293;250053733;Sergei Lapochkin;RUS;ADDITIONAL_ASSISTANT_REFEREE_ONE;https://img.uefa.com/imgml/referees/75x75/250053733.jpg
2019293;268225;Anton Averianov;RUS;ASSISTANT_REFEREE_ONE;https://img.uefa.com/imgml/referees/75x75/268225.jpg
2019294;256589;Bernd Barutta;GER;UEFA_DELEGATE;https://img.uefa.com/imgml/referees/75x75/256589.jpg
2019294;250066465;Polychronis Kostaras;GRE;ASSISTANT_REFEREE_TWO;https://img.uefa.com/imgml/referees/75x75/250066465.jpg
2019294;250080699;Charalampos Kalogeropoulos;GRE;ADDITIONAL_ASSISTANT_REFEREE_ONE;https://img.uefa.com/imgml/referees/75x75/250080699.jpg
2019294;250085071;Alexandros Aretopoulos;GRE;ADDITIONAL_ASSISTANT_REFEREE_TWO;https://img.uefa.com/imgml/referees/75x75/250085071.jpg
2019294;250001471;Damianos Efthimiadis;GRE;ASSISTANT_REFEREE_ONE;https://img.uefa.com/imgml/referees/75x75/250001471.jpg
2019294;250057069;Lazaros Dimitriadis;GRE;FOURTH_OFFICIAL;https://img.uefa.com/imgml/referees/75x75/250057069.jpg
2019294;250019549;Tasos Sidiropoulos;GRE;REFEREE;https://img.uefa.com/imgml/referees/75x75/250019549.jpg
2019295;291554;Jaroslav Dudl;CZE;UEFA_DELEGATE;https://img.uefa.com/imgml/referees/75x75/291554.jpg
2019295;250008736;Matej Žunič;SVN;ASSISTANT_REFEREE_ONE;https://img.uefa.com/imgml/referees/75x75/250008736.jpg
2019295;34557;Dejan Balažič;SVN;ADDITIONAL_ASSISTANT_REFEREE_ONE;https://img.uefa.com/imgml/referees/75x75/34557.jpg
2019295;288888;Matej Jug;SVN;REFEREE;https://img.uefa.com/imgml/referees/75x75/288888.jpg
2019295;250023723;Robert Vukan;SVN;FOURTH_OFFICIAL;https://img.uefa.com/imgml/referees/75x75/250023723.jpg
2019295;250077328;Rade Obrenovič;SVN;ADDITIONAL_ASSISTANT_REFEREE_TWO;https://img.uefa.com/imgml/referees/75x75/250077328.jpg
2019295;250064739;Manuel Vidali;SVN;ASSISTANT_REFEREE_TWO;https://img.uefa.com/imgml/referees/75x75/250064739.jpg
2019296;1907225;Per Brogevik;SWE;FOURTH_OFFICIAL;https://img.uefa.com/imgml/referees/75x75/1907225.jpg
2019296;250072886;Glenn Nyberg;SWE;ADDITIONAL_ASSISTANT_REFEREE_TWO;https://img.uefa.com/imgml/referees/75x75/250072886.jpg
2019296;263434;Martin Strömbergsson;SWE;REFEREE;https://img.uefa.com/imgml/referees/75x75/263434.jpg
2019296;250060821;Mohammed Al-Hakim;SWE;ADDITIONAL_ASSISTANT_REFEREE_ONE;https://img.uefa.com/imgml/referees/75x75/250060821.jpg
2019296;250023388;Daniel Gustavsson;SWE;ASSISTANT_REFEREE_ONE;https://img.uefa.com/imgml/referees/75x75/250023388.jpg
2019296;250088178;Joakim Amri Nilsson;SWE;ASSISTANT_REFEREE_TWO;https://img.uefa.com/imgml/referees/75x75/250088178.jpg
2019296;80596;Patrick Mcgrath;IRL;UEFA_DELEGATE;https://img.uefa.com/imgml/referees/75x75/80596.jpg
2019297;250014712;Daniel Siebert;GER;ADDITIONAL_ASSISTANT_REFEREE_ONE;https://img.uefa.com/imgml/referees/75x75/250014712.jpg
2019297;250077788;Eduard Beitinger;GER;FOURTH_OFFICIAL;https://img.uefa.com/imgml/referees/75x75/250077788.jpg
2019297;278139;Thorsten Schiffner;GER;ASSISTANT_REFEREE_ONE;https://img.uefa.com/imgml/referees/75x75/278139.jpg
2019297;250077318;Benjamin Brand;GER;ADDITIONAL_ASSISTANT_REFEREE_TWO;https://img.uefa.com/imgml/referees/75x75/250077318.jpg
2019297;1906154;Deniz Aytekin;GER;REFEREE;https://img.uefa.com/imgml/referees/75x75/1906154.jpg
2019297;1909997;Markus Häcker;GER;ASSISTANT_REFEREE_TWO;https://img.uefa.com/imgml/referees/75x75/1909997.jpg
2019297;203299;Adrian Titcombe;ENG;UEFA_DELEGATE;https://img.uefa.com/imgml/referees/75x75/203299.jpg
2019298;1900117;Roberto Alonso Fernández;ESP;ASSISTANT_REFEREE_TWO;https://img.uefa.com/imgml/referees/75x75/1900117.jpg
2019298;274185;William Campbell;NIR;UEFA_DELEGATE;https://img.uefa.com/imgml/referees/75x75/274185.jpg
2019298;288532;David Fernández Borbalán;ESP;REFEREE;https://img.uefa.com/imgml/referees/75x75/288532.jpg
2019298;250038192;Carlos del Cerro Grande;ESP;ADDITIONAL_ASSISTANT_REFEREE_ONE;https://img.uefa.com/imgml/referees/75x75/250038192.jpg
2019298;250062202;Juan Martínez Munuera;ESP;ADDITIONAL_ASSISTANT_REFEREE_TWO;https://img.uefa.com/imgml/referees/75x75/250062202.jpg
2019298;250080837;Diego Barbero;ESP;FOURTH_OFFICIAL;https://img.uefa.com/imgml/referees/75x75/250080837.jpg
2019298;250002330;Raúl Cabañero;ESP;ASSISTANT_REFEREE_ONE;https://img.uefa.com/imgml/referees/75x75/250002330.jpg
2019299;282272;Juan Carlos Yuste;ESP;FOURTH_OFFICIAL;https://img.uefa.com/imgml/referees/75x75/282272.jpg
2019299;1900330;Carlos Gómez;ESP;ADDITIONAL_ASSISTANT_REFEREE_TWO;https://img.uefa.com/imgml/referees/75x75/1900330.jpg
2019299;289607;Antonio Mateu Lahoz;ESP;REFEREE;https://img.uefa.com/imgml/referees/75x75/289607.jpg
2019299;250012171;Milovan Djukanović;MNE;UEFA_DELEGATE;https://img.uefa.com/imgml/referees/75x75/250012171.jpg
2019299;250061364;Jesús Gil Manzano;ESP;ADDITIONAL_ASSISTANT_REFEREE_ONE;https://img.uefa.com/imgml/referees/75x75/250061364.jpg
2019299;291558;Roberto del Palomar;ESP;ASSISTANT_REFEREE_TWO;https://img.uefa.com/imgml/referees/75x75/291558.jpg
2019299;250026633;Pau Cebrián Devís;ESP;ASSISTANT_REFEREE_ONE;https://img.uefa.com/imgml/referees/75x75/250026633.jpg
2019300;283131;Lee Mason;ENG;ADDITIONAL_ASSISTANT_REFEREE_TWO;https://img.uefa.com/imgml/referees/75x75/283131.jpg
2019300;250011684;Jacob Dorian Collin;ENG;ASSISTANT_REFEREE_ONE;https://img.uefa.com/imgml/referees/75x75/250011684.jpg
2019300;291428;Andre Marriner;ENG;ADDITIONAL_ASSISTANT_REFEREE_ONE;https://img.uefa.com/imgml/referees/75x75/291428.jpg
2019300;259158;Dane Jošt;SVN;UEFA_DELEGATE;https://img.uefa.com/imgml/referees/75x75/259158.jpg
