season;federation;points
2005-2006;ITA;22.02
2005-2006;ESP;24.006
2005-2006;ENG;20.95
2005-2006;FRA;16.757
2005-2006;POR;14.533
2005-2006;NED;13.64
2005-2006;GER;15.96
2005-2006;GRE;10.587
2005-2006;SCO;10.023
2005-2006;BEL;9.981
2005-2006;SUI;8.537
2005-2006;ROU;10.381
2005-2006;CZE;8.769
2005-2006;RUS;10.504
2005-2006;TUR;8.634
2005-2006;UKR;8.777
2005-2006;NOR;6.921
2005-2006;BUL;8.016
2005-2006;SRB;6.6
2005-2006;POL;6.104
2005-2006;AUT;6.723
2005-2006;ISR;7.108
2005-2006;DEN;5.593
2005-2006;CRO;4.647
2005-2006;HUN;4.84
2005-2006;SVK;4.07
2005-2006;SWE;4.372
2005-2006;CYP;3.355
2005-2006;SVN;3.355
2005-2006;BIH;2.695
2005-2006;GEO;2.09
2005-2006;FIN;2.433
2005-2006;LVA;2.365
2005-2006;MDA;2.255
2005-2006;MKD;1.76
2005-2006;ISL;1.595
2005-2006;IRL;1.43
2005-2006;LTU;1.925
2005-2006;MLT;0.88
2005-2006;BLR;1.457
2006-2007;ITA;21.808
2006-2007;ESP;25.374
2006-2007;ENG;22.618
2006-2007;FRA;17.706
2006-2007;POR;14.107
2006-2007;NED;12.995
2006-2007;GER;14.64
2006-2007;SCO;10.064
2006-2007;GRE;8.415
2006-2007;ROU;13.255
2006-2007;SUI;7.869
2006-2007;RUS;11.92
2006-2007;BEL;9.594
2006-2007;UKR;9.726
2006-2007;TUR;8.791
2006-2007;BUL;8.112
2006-2007;CZE;8.851
2006-2007;NOR;6.509
2006-2007;SRB;6.256
2006-2007;ISR;6.338
2006-2007;AUT;6.104
2006-2007;POL;5.609
2006-2007;DEN;6.129
2006-2007;HUN;4.675
2006-2007;CRO;3.533
2006-2007;SVK;3.575
2006-2007;SWE;3.478
2006-2007;CYP;3.492
2006-2007;SVN;3.272
2006-2007;BIH;3.19
2006-2007;GEO;2.035
2006-2007;LVA;2.86
2021-2022;ENG;20.299
2021-2022;ESP;18.428
2021-2022;FRA;11.483
2021-2022;ITA;14.866
2021-2022;NED;9.14
2021-2022;POR;10.309
2021-2022;AUT;7.69
2021-2022;UKR;6.36
2021-2022;SUI;5.935
2021-2022;CRO;5.43
2021-2022;CZE;5.44
2021-2022;RUS;6.896
2021-2022;SRB;6.575
2021-2022;GRE;5.44
2021-2022;SCO;6.98
2021-2022;DEN;5.395
2021-2022;BEL;6.12
2021-2022;TUR;5.38
2021-2022;AZE;3.4
2021-2022;ISR;4.875
2021-2022;SWE;4.575
2021-2022;BUL;3.9
2021-2022;MDA;2.25
2021-2022;KAZ;3.15
2021-2022;ROU;3.43
2021-2022;NOR;5.2
2021-2022;CYP;5.275
2021-2022;BLR;2.5
2021-2022;HUN;3.275
2021-2022;SVN;3.0
2021-2022;SVK;3.125
2021-2022;POL;3.175
2021-2022;LTU;2.0
2021-2022;EST;1.408
2021-2022;IRL;1.625
2021-2022;MKD;1.4
2021-2022;FIN;1.775
2021-2022;WAL;1.1
2021-2022;LUX;1.75
2021-2022;LVA;1.725
2021-2022;ARM;1.625
2021-2022;GIB;1.083
2021-2022;BIH;1.825
2021-2022;NIR;1.616
2021-2022;MNE;0.975
2021-2022;GEO;1.4
2021-2022;LIE;1.3
2021-2022;FRO;1.45
2021-2022;ALB;1.6
2021-2022;MLT;1.4
2021-2022;ISL;1.075
2021-2022;AND;0.933
2021-2022;KOS;1.633
2021-2022;SMR;0.266
2013-2014;LUX;0.975
2013-2014;WAL;0.6
2013-2014;ALB;1.1
2013-2014;EST;0.575
2013-2014;MKD;1.05
2013-2014;NIR;0.725
2013-2014;MLT;0.966
2013-2014;ARM;0.575
2013-2014;MNE;1.2
2013-2014;LIE;0.9
2013-2014;FRO;0.425
2013-2014;AND;0.166
2013-2014;SMR;0.199
2014-2015;ESP;19.999
2014-2015;GER;15.883
2014-2015;ENG;16.078
2014-2015;POR;12.276
2014-2015;FRA;10.483
2014-2015;ITA;14.102
2014-2015;RUS;10.099
2014-2015;UKR;9.033
2014-2015;SUI;6.875
